,STNCODE,STNNAME,ADDRESS1,ADDRESS2,CITY,STATE,ZIP,STNTYPE,STFIPS,OBJECTID_1,OBJECTID,type,coordinates
368,CLE,"Cleveland, Ohio",200 Cleveland Memorial Shoreway, ,Cleveland,OH,44114,RAIL,39,369,391,Point,"[-81.69817399981798, 41.50441699950198]"
369,CLF,"Clifton Forge, Virginia",400 Ridgeway Street, ,Clifton Forge,VA,24422,RAIL,51,370,392,Point,"[-79.83649399999784, 37.811770999509335]"
370,CLM,"Claremont, California",200 West First St.,Metrolink Station,Claremont,CA,91711,BUS,06,371,393,Point,"[-117.71550799971683, 34.094527999808705]"
371,CLP,"Culpeper, Virginia",109 South Commerce Street, ,Culpeper,VA,22701,RAIL,51,372,394,Point,"[-77.99304199947538, 38.4729229997713]"
372,CLT,"Charlotte, North Carolina",1914 North Tryon St., ,Charlotte,NC,28206,RAIL,37,373,395,Point,"[-80.82363899964636, 35.24114599990211]"
373,CLV,"Cloverdale, California",Citrus Fair Road and Asti Road,Cloverdale Depot Park-N-Ride Lot,Cloverdale,CA,95425,BUS,06,374,396,Point,"[-123.01207699943443, 38.7998959993047]"
374,CML,"Camarillo, California (Trains)",30 Lewis Road, ,Camarillo,CA,93010,RAIL,06,375,397,Point,"[-119.03311200019132, 34.21646900027748]"
375,CMO,"Chemult, Oregon",Palmer/Kranz Street and Depot Street,"Off Highway 97, center of town",Chemult,OR,97731,RAIL,41,376,398,Point,"[-121.78066300065352, 43.21690399965927]"
376,CNG,"Corning, California",1081 Solano Street,Intermodal Terminal at 3rd Street,Corning,CA,96021-3235,BUS,06,377,399,Point,"[-122.19692999998837, 39.9284779998206]"
377,LVS,"Las Vegas (Downtown), Nevada",200 South Main St.,Greyhound Station,Las Vegas,NV,89101-6357,BUS,32,378,400,Point,"[-115.14860499949879, 36.16681299961726]"
378,LVW,"Longview, Texas",905 Pacific Ave., ,Longview,TX,75602,RAIL,48,379,401,Point,"[-94.7252660002031, 32.49587200023289]"
379,LWN,"Lewiston, Idaho",1920 Highway 128,Shell Dyna Mart,Lewiston,ID,83501-1617,BUS,16,380,402,Point,"[-117.005320803956, 46.426986119195675]"
380,LYH,"Lynchburg, Virginia",825 Kemper St, ,Lynchburg,VA,24501-1397,RAIL,51,381,403,Point,"[-79.15746299957425, 37.40702399930089]"
381,MAC,"Macomb, Illinois",120 East Calhoun Street,Travel Center,Macomb,IL,61455-7321,RAIL,17,382,404,Point,"[-90.67227899959008, 40.461131999905916]"
382,MAK,"Mackinaw City, Michigan",102 South Huron Ave.,Village Hall,Mackinaw City,MI,49701,BUS,26,383,405,Point,"[-84.72528099966748, 45.78168100001456]"
383,MAL,"Malta, Montana",51 South 1st Street East, ,Malta,MT,59538-1732,RAIL,30,384,406,Point,"[-107.87244399994682, 48.35988199971892]"
384,MAT,"Mattoon, Illinois",1718 Broadway Ave., ,Mattoon,IL,61938-3920,RAIL,17,385,407,Point,"[-88.37552600082905, 39.48242199980659]"
385,MAY,"Maysville,  Kentucky",West Front St & Rosemary Clooney St, ,Maysville,KY,41056,RAIL,21,386,408,Point,"[-83.77107200047918, 38.65162300009901]"
386,MCA,"McCall, Idaho",147 North 3rd St.,Jim's Grocery,McCall,ID,83638-4408,BUS,16,387,409,Point,"[-116.08953900084556, 44.921661000332115]"
387,MCB,"McComb, Mississippi",114 Northeast Railroad Ave., ,McComb,MS,39648,RAIL,28,388,410,Point,"[-90.45294200095663, 31.24929199995434]"
388,MCD,"Merced, California",324 West 24th St, ,Merced,CA,95340,RAIL,06,389,411,Point,"[-120.47589100012638, 37.30704099899413]"
389,MCG,"McGregor, Texas",1 Amtrak Blvd., ,McGregor,TX,76657,RAIL,48,390,412,Point,"[-97.4017259999465, 31.437921999990564]"
390,MCI,"Michigan City, Indiana",100 Washington St., ,Michigan City,IN,46360-3246,RAIL,18,391,413,Point,"[-86.90521999930458, 41.72135899953219]"
391,MCK,"McCook, Nebraska",101 Norris Ave., ,McCook,NE,69001-3779,RAIL,31,392,414,Point,"[-100.62534300037285, 40.19756300098451]"
392,MDN,"Meriden, Connecticut",60 State Street, ,Meriden,CT,06450,RAIL,09,393,415,Point,"[-72.80121600043908, 41.538998000832734]"
393,MDP,"Midpines, California",6979 Highway 140,Yosemite Bug Youth Hostel,Midpines,CA,95345,BUS,06,394,417,Point,"[-119.93206799960241, 37.55945599959757]"
394,MDR,"Madera, California",Avenue 15 1/2 at 29th Road, ,Madera,CA,93637,RAIL,06,395,418,Point,"[-120.01894399976268, 36.97451799925374]"
395,MDT,"Mendota, Illinois",783 Main Street, ,Mendota,IL,61342,RAIL,17,396,419,Point,"[-89.11728699983813, 41.55004099967741]"
396,MEI,"Meridian, Mississippi",1901 Front Street, ,Meridian,MS,39301,RAIL,28,397,420,Point,"[-88.69616700040285, 32.36382300012484]"
397,MEM,"Memphis, Tennessee",Central Station,545 S. Main St,Memphis,TN,38103,RAIL,47,398,421,Point,"[-90.05887599968949, 35.132431000128776]"
398,MEN,"McAllen, Texas",1501 West US Hwy 83 Business, ,McAllen,TX,78501-5120,BUS,48,399,422,Point,"[-98.23641200001589, 26.203093000239193]"
399,MET,"Metropark (Iselin), New Jersey",100 Middlesex-Essex Turnpike, ,Iselin,NJ,08830-2707,RAIL,34,400,423,Point,"[-74.32785799986755, 40.567753000445585]"
400,MEW,"Monroe, Washington","118 North Lewis St., Suite 112",Behind Chamber of Commerce,Monroe,WA,98272,BUS,53,401,424,Point,"[-121.96857500016891, 47.859222000682536]"
401,MFR,"Medford, Oregon",200 South Front Street,Rogue Valley Transportation District (RVTD),Medford,OR,97501,BUS,41,402,425,Point,"[-122.87179335378787, 42.32446165352885]"
402,MHL,"Marshall, Texas",800 North Washington Street - suite 2, ,Marshall,TX,75670-5330,RAIL,48,403,426,Point,"[-94.36684399956627, 32.55134999980673]"
403,MHT,"Manchester, New Hampshire",119 Canal St.,Manchester Transportation Center,Manchester,NH,03101-2333,BUS,33,404,427,Point,"[-71.46557121765694, 42.98700806507626]"
404,MIA,"Miami, Florida",8303 NW 37th Ave, ,Miami,FL,33147,RAIL,12,405,428,Point,"[-80.25807200009083, 25.849847999860593]"
405,MID,"Middletown, Pennsylvania",Union Street and Mill Street, ,Middletown,PA,17057,RAIL,42,406,429,Point,"[-76.73161299994132, 40.1929470001363]"
406,MIN,"Mineola, Texas",115 East Front St., ,Mineola,TX,75773-2453,RAIL,48,407,430,Point,"[-95.49013500017112, 32.66187999973826]"
407,MJY,"Mount Joy, Pennsylvania",East Henry St. and North Market St., ,Mount Joy,PA,17552,RAIL,42,408,431,Point,"[-76.50291400016529, 40.10891699926911]"
408,MKA,"Milwaukee (General Mitchell Intl Airport), Wiscons",5601 South 6th Street,(South 6th St & Airport Spur Freeway),Milwaukee,WI,53221,RAIL,55,409,432,Point,"[-87.9244757162635, 42.941746535665004]"
409,MKE,"Milwaukee, Wisconsin",433 West St. Paul Ave., ,Milwaukee,WI,53203,RAIL,55,410,433,Point,"[-87.91648099949235, 43.03401600096795]"
410,MKV,"McKinleyville (Arcata Airport), California",3561 Boeing Ave,Arcata Airport Terminal,McKinleyville,CA,95519-9358,BUS,06,411,434,Point,"[-124.11094699990151, 40.975506000203964]"
411,MLI,"Moline, Illinois",1200 River Drive,Centre Station,Moline,IL,61265-1302,BUS,17,412,435,Point,"[-90.50573699991072, 41.454726999595614]"
412,MLK,"Moses Lake, Washington",1819 East Kittleson Road,Union 76 - Food Mart,Moses Lake,WA,98837,BUS,53,413,436,Point,"[-119.24521599951564, 47.10194400023896]"
413,MNG,"Montgomery, West Virginia",Third Avenue and Washington Street, ,Montgomery,WV,25136,RAIL,54,414,438,Point,"[-81.32407399986975, 38.180701999875]"
414,MNI,"Manning, Oregon",47000 Highway 26,East of Dairy Queen,Manning,OR,97106,BUS,41,415,439,Point,"[-123.1605997853561, 45.65974434836217]"
415,MOC,"Moscow, Idaho",120 West 6th St.,Royal Motor Inn,Moscow,ID,83843-2318,BUS,16,416,440,Point,"[-117.00161000006122, 46.73004199969996]"
416,MOD,"Modesto, California",1700 Held Drive, ,Modesto,CA,95355-8301,RAIL,06,417,441,Point,"[-120.91159800035038, 37.66813999941625]"
417,MOG,"Mobile (Greyhound), Alabama",2545 Government Blvd., ,Mobile,AL,36606-1631,BUS,01,418,443,Point,"[-88.10299181670905, 30.668932225375265]"
418,MOJ,"Mojave, California",15900 Sierra Highway,Carl's Jr. Restaurant,Mojave,CA,93501-1516,BUS,06,419,444,Point,"[-118.17244700058293, 35.05228799949843]"
419,MOT,"Minot, North Dakota",400 1st Ave. S.W., ,Minot,ND,58701,RAIL,38,420,445,Point,"[-101.29790500067014, 48.235733000245695]"
420,MOV,"Moreno Valley, California",2650 East Alessandro Blvd.,RTA Bus Stop at Curb,Riverside,CA,92508-2306,BUS,06,421,446,Point,"[-117.290468448576, 33.916838188346944]"
421,MPK,"Moorpark, California",300 High Street,Amtrak / Metrolink Station,Moorpark,CA,93021,RAIL,06,422,447,Point,"[-118.87695299985702, 34.28519399995202]"
422,TRK,"Turlock-Denair, California",3800 Santa Fe Avenue,Corner of Elm Street,Denair,CA,95316,RAIL,06,423,448,Point,"[-120.79879800000437, 37.53031200033405]"
423,TRU,"Truckee, California",10065 Donner Pass Road, ,Truckee,CA,96161-0329,RAIL,06,424,449,Point,"[-120.18257100048108, 39.327914999909275]"
424,TRV,"Traverse City, Michigan",107 Hall Street, ,Traverse City,MI,49684-2215,BUS,26,425,450,Point,"[-85.62842103636332, 44.764372664341934]"
425,TSY,"Tusayan(Grand Canyon Village), Arizona",Arizona Hwy 64,Grand Canyon Village/IMAX Theatre,Tusayan,AZ,86023,BUS,04,426,451,Point,"[-112.12273552417459, 36.035344263045964]"
426,TUK,"Tukwila, Washington",7301 South 158th St.,Sounder Commuter Rail Station,Tukwila,WA,98188,RAIL,53,427,452,Point,"[-122.24258061574113, 47.46112072459288]"
427,PLB,"Plattsburgh, New York",Bridge and Dock Sts., ,Plattsburgh,NY,12901,RAIL,36,428,618,Point,"[-73.44745599926908, 44.69699099940814]"
428,PLO,"Plano, Illinois",101 West Main Street, ,Plano,IL,60545,RAIL,17,429,619,Point,"[-88.53835837161004, 41.661990362574656]"
429,PMD,"Palmdale (Amtrak Thruway), California",39000 Clock Tower Plaza Drive - Bus Bay 2E,Palmdale Transportation Center-San Joaquin Buses,Palmdale,CA,93550-4513,BUS,06,430,620,Point,"[-118.12789900036606, 34.57914399990981]"
430,PMO,"Plymouth, New Hampshire",83 Main St.,Chase Street Market,Plymouth,NH,03264-1548,BUS,33,431,622,Point,"[-71.68733074803285, 43.75859785926036]"
431,PNT,"Pontiac, Michigan",51000 Woodward Avenue, ,Pontiac,MI,48342,RAIL,26,432,624,Point,"[-83.29201411834214, 42.63372020544068]"
432,POG,"Portage, Wisconsin",400 West Oneida Street, ,Portage,WI,53901,RAIL,55,433,625,Point,"[-89.46913900006636, 43.54661199972396]"
433,POH,"Port Henry, New York",20 Park Place,Senior Citizen Center,Port Henry,NY,12974-1324,RAIL,36,434,626,Point,"[-73.46192900025497, 44.03306600014866]"
434,PON,"Pontiac, Illinois",721 West Washington St., ,Pontiac,IL,61764,RAIL,17,435,627,Point,"[-88.63649699964499, 40.879440000291105]"
435,POR,"Portland, Maine",100 Thompson's Point Road,Portland Transportation Center,Portland,ME,04102-2630,RAIL,23,436,628,Point,"[-70.29049300028602, 43.65201300051981]"
436,POS,"Pomona (Sunset Ltd), California",100 West Commercial Street, ,Pomona,CA,91768,RAIL,06,437,629,Point,"[-117.75063299959005, 34.059395000268644]"
437,POU,"Poughkeepsie, New York",41 Main St.,Amtrak/Metro-North Station,Poughkeepsie,NY,12601-2909,RAIL,36,438,630,Point,"[-73.93901100019536, 41.70567299943678]"
438,PRB,"Paso Robles, California",800 Pine Street,Paso Robles Intermodal Station,Paso Robles,CA,93446-2856,RAIL,06,439,631,Point,"[-120.68693499999185, 35.62292499987211]"
439,PRC,"Prince, West Virginia (Beckley)",Hwy 41 and County Road 25,near Depot Rd,Prince,WV,25907,RAIL,54,440,632,Point,"[-81.05422200013517, 37.85870700047388]"
440,PRI,"Perris, California",1688-J North Perris Blvd,International House of Pancakes,Perris,CA,92571-4702,BUS,06,441,633,Point,"[-117.21663699964077, 33.791392999994194]"
441,PRK,"Port Kent, New York",Hwy 373 & Back Rd,near Burlington-Fort Kent ferry dock,Port Kent,NY,12975,RAIL,36,442,634,Point,"[-73.44427500016931, 44.578041000234904]"
442,PRO,"Provo, Utah",300 West 600 South, ,Provo,UT,84601-4542,RAIL,49,443,635,Point,"[-111.66272000007291, 40.225868000324596]"
443,PSC,"Pasco, Washington",535 North 1st Avenue,Pasco Intermodal Train Station,Pasco,WA,99301-5378,RAIL,53,444,636,Point,"[-119.08424400016219, 46.23359699930389]"
444,PSK,"Petoskey, Michigan",301 West Mitchell St.,The Book Stop,Petosky,MI,49770-2327,BUS,26,445,637,Point,"[-84.96370699956077, 45.373909000062426]"
445,PSN,"Palm Springs (Train), California",Indian Ave. and Palm Springs Station Rd.,0.6 mi/0.965 km south of I-10,North Palm Springs,CA,92258,RAIL,06,446,638,Point,"[-116.5450129995019, 33.895942999518844]"
446,PSP,"Palm Springs (Buses), California",3400 East Tahquitz Canyon Way,Sunline Bus Stop/Palm Springs Airport,Palm Springs,CA,92262-6970,BUS,06,447,639,Point,"[-116.54491399976769, 33.82669800022487]"
447,PST,"Pellston, Michigan",110 North US Highway 131,General Store/Amoco Station,Pellston,MI,49769-9333,BUS,26,448,640,Point,"[-84.78458400000423, 45.55063999965566]"
448,PTB,"Petersburg, Virginia",3516 South Street,Ettrick Station,Petersburg,VA,23803-1642,RAIL,51,449,641,Point,"[-77.42897000047022, 37.241619000837346]"
449,PTC,"Petaluma, California",100 Fairgrounds Drive,Regional Library,Petaluma,CA,94952,BUS,06,450,642,Point,"[-122.63048599953588, 38.24300799961365]"
450,PTE,"Pateros, Washington",245 Lakeshore Drive,Super Stop Convenience Store,Pateros,WA,98846,BUS,53,451,643,Point,"[-119.90366000853575, 48.05235484241912]"
451,PTH,"Port Huron, Michigan",2223 16th Street, ,Port Huron,MI,48060,RAIL,26,452,644,Point,"[-82.44181100094055, 42.96078900021675]"
452,PUB,"Pueblo, Colorado",1080 Chinook Lane, ,Pueblo,CO,81001,BUS,08,453,645,Point,"[-104.61505900100367, 38.307827000241076]"
453,PUL,"Pullman, Washington",1002 Northwest Nye St.,Northwestern Stage Lines Depot,Pullman,WA,99163-3429,BUS,53,454,646,Point,"[-117.1737439998078, 46.73877000042406]"
454,PUR,"Purcell, Oklahoma",East Main St and North Santa Fe Ave., ,Purcell,OK,73080,RAIL,40,455,647,Point,"[-97.35633899930542, 35.01197400061102]"
455,PVD,"Providence, Rhode Island",100 Gaspee Street, ,Providence,RI,02903,RAIL,44,456,648,Point,"[-71.41599299949704, 41.82563000039033]"
456,PVL,"Pauls Valley, Oklahoma",East Paul Ave. and South Santa Fe St.,1 Santa Fe Plaza,Pauls Valley,OK,73075,RAIL,40,457,649,Point,"[-97.2190020002673, 34.741467000001364]"
457,PXN,"Phoenix (Metro Center Transit Station), Arizona",9617 North Metro Parkway West,North Phoenix,Phoenix,AZ,85023,BUS,04,458,650,Point,"[-112.11127500013778, 33.55594299916865]"
458,QAN,"Quantico, Virginia",550 Railroad Avenue,at Potomac Ave. inside Marine Corp base,Quantico,VA,22134-3444,RAIL,51,459,651,Point,"[-77.29304500034513, 38.52201100024383]"
459,QCY,"Quincy, Illinois",North 30th St. and Wisman Lane, ,Quincy,IL,62301,RAIL,17,460,652,Point,"[-91.36634799999077, 39.957442999692404]"
460,QUC,"Quincy, Washington",102 B St NE,Kissel's Variety Store,Quincy,WA,98848-1117,BUS,53,461,653,Point,"[-119.85018199980989, 47.23968899927674]"
461,RAT,"Raton, New Mexico",201 South First Street,(At Cook Ave),Raton,NM,87740-3903,RAIL,35,462,654,Point,"[-104.43752300116066, 36.900749000370034]"
462,RBF,"Red Bluff, California",228 S. Main Street,Amtrak Thruway Bus Stop at Taco Bell,Red Bluff,CA,96080-3802,BUS,06,463,656,Point,"[-122.21096799988277, 40.18600800008675]"
463,RCK,"Rockford, Illinois",7559 Walton St.,Van Galder Bus Station,Rockford,IL,61108-4606,BUS,17,464,657,Point,"[-88.97989700019825, 42.268139000186494]"
464,RDD,"Redding (Amtrak Station), California",1620 Yuba Street, ,Redding,CA,96001-1712,RAIL,06,465,658,Point,"[-122.39192199955033, 40.58283200045338]"
465,RDM,"Redmond Airport, Oregon",2300 Redmond Airport Way,Redmond Airport,Redmond,OR,97756,BUS,41,466,659,Point,"[-121.16291078215203, 44.25387058177918]"
466,RDR,"Redding (RABA Transit Center), California",1530 Yuba Street, ,Redding,CA,96001-1008,BUS,06,467,660,Point,"[-122.39250743521426, 40.582957179807146]"
467,RDS,"Rio Dell-Scotia, California",100 Main Street,Scotia Inn,Scotia,CA,95565,BUS,06,468,661,Point,"[-124.09996000030885, 40.48457700049186]"
468,RDW,"Red Wing, Minnesota",420 Levee Street, ,Red Wing,MN,55066,RAIL,27,469,662,Point,"[-92.54184000024617, 44.56454099948242]"
469,RED,"Redmond, Oregon",2456 South Highway 97,McDonald's Restaurant,Redmond,OR,97756,BUS,41,470,663,Point,"[-121.18579900039522, 44.24793999916568]"
470,REE,"Reed City, Michigan",US 10 & 220th Ave.,McDonald's Restaurant,Reed City,MI,49677-1119,BUS,26,471,664,Point,"[-85.51007099985026, 43.87459900013462]"
471,REN,"Rensselaer, Indiana",619 North Cullen Street, ,Rensselaer,IN,47978,RAIL,18,472,665,Point,"[-87.15447999952798, 40.943039000006046]"
472,RGH,"Raleigh, North Carolina",320 West Cabarrus Street, ,Raleigh,NC,27601,RAIL,37,473,666,Point,"[-78.64448499910851, 35.77374999929537]"
473,LWA,"Leavenworth, WA",11645 North Rd,Icicle Station,Leavenworth,WA,98826,RAIL,53,474,862,Point,"[-120.64143499937288, 47.60528999950593]"
474,NYF,"Syracuse, NY",581 State Fair Blvd,Gate 11,Syracuse,NY,13209,RAIL,36,475,863,Point,"[-76.21458071664708, 43.072671357227605]"
475,OCM,"Ocean City, MD",12848 Ocean Gateway,West Ocean City Park,Ocean City,MD,21842,BUS,24,476,864,Point,"[-75.1025093577339, 38.33612994565458]"
476,PDC,"Palm Desert, CA",44449 Towne Center Way,Sunline Transit Stop,Palm Desert,CA,92260,BUS,06,477,865,Point,"[-116.39966261580271, 33.72489156376712]"
477,WIT,"Wittenberg, WI",505 Grand Avenue,Wittenberg Shell,Wittenberg,WI,54499,BUS,55,478,866,Point,"[-89.16482399953415, 44.826980000304765]"
478,WMN,"Wilmington, NC",505 Cando St,WAAVE Forden Station Transit Center,Wilmington,NC,28405,BUS,37,479,867,Point,"[-77.87345600959046, 34.25052656475016]"
479,FRC,"Frederick, MD",100 South East Street,Transit Center,Frederick,MD,21704,RAIL,24,480,868,Point,"[-77.40558000037728, 39.41185500074733]"
480,BCV,"Burke Centre, VA",10399 Premier Court,Virginia Railway Express Station,Burke Centre,VA,22015,RAIL,51,481,869,Point,"[-77.29878999967494, 38.797270999959935]"
481,POI,"Carlsbad Poinsettia, CA",6511 Avenida Encinas,Station,Carlsbad Poinsettia,CA,92009,RAIL,06,482,870,Point,"[-117.31874300029709, 33.109247999782596]"
482,CBV,"Carlsbad Village, CA",2775 State Street,Station,Carlsbad Village,CA,92008,RAIL,06,483,871,Point,"[-117.35072999982992, 33.16098900012433]"
483,ENC,"Encinitas, CA",25 East D Street,Station,Encinitas,CA,92024,RAIL,06,484,872,Point,"[-117.29320400007583, 33.04710900003512]"
484,SRB,"Sorrento Valley, CA",11170 Sorrento Valley Road,Station,Sorrento Valley,CA,92121,RAIL,06,485,873,Point,"[-117.22489199967221, 32.90268399978468]"
485,LTM,"Manteca, CA",17800 Shideler Parkway,Station,Lathrop-Manteca,CA,95330,RAIL,06,486,874,Point,"[-121.26365800009275, 37.79836000024006]"
486,PLS,"Pleasanton, CA",4950 Pleasanton Avenue,Station,Pleasanton,CA,94566,RAIL,06,487,875,Point,"[-121.88263899981685, 37.65815200075401]"
487,TRC,"Tracy, CA",4800 Tracy Boulevard,Station,Tracy,CA,95377,RAIL,06,488,876,Point,"[-121.43396999994918, 37.69621100020318]"
488,VAS,"Livermore, CA",575 South Vasco Road,Vasco Road Station,Livermore,CA,94550,RAIL,06,489,877,Point,"[-121.71834599982495, 37.696985999825756]"
489,ABB,"Abbotsford-Colby, WI",1210 North Division St.,Shell Station,Abbotsford-Colby,WI,54421,BUS,55,490,878,Point,"[-90.31466699996345, 44.928553000440466]"
490,AMC,"Alamosa, CO",111 Pike Avenue,San Luis Valley Apartments,Alamosa,CO,81101,BUS,08,491,879,Point,"[-105.88438899966854, 37.47165800034002]"
491,TUS,"Tucson, Arizona",400 North Toole Avenue, ,Tucson,AZ,85701-1815,RAIL,04,492,453,Point,"[-110.96593499910624, 32.223060999801845]"
492,TXA,"Texarkana, Arkansas",100 East Front Street, ,Texarkana,AR,71854-5907,RAIL,05,493,455,Point,"[-94.04244200003626, 33.420074000569564]"
493,TYR,"Tyrone, Pennsylvania",Pennsylvania Ave and West 10th St., ,Tyrone,PA,16686,RAIL,42,494,456,Point,"[-78.24105100044423, 40.670321999917164]"
494,UCA,"Utica, New York",321 Main St.,Boehlert Transportation Center,Utica,NY,13501,RAIL,36,495,457,Point,"[-75.22393799977739, 43.10407300033257]"
495,UKH,"Ukiah, California",711 East Perkins Street,Burger King,Ukiah,CA,95482,BUS,06,496,458,Point,"[-123.19570199946214, 39.1515309997468]"
496,UWS,"Winston-Salem State Univ, Winston-Salem, North Car","601 South Martin Luther King, Jr. Dr",Bus stop in front of nursing bldg.,Winston-Salem,NC,27110-0001,BUS,37,497,459,Point,"[-80.22371554397749, 36.08846709344272]"
497,VAB,"Virginia Beach, Virginia",19th St. and Pacific Ave., ,Virginia Beach,VA,23451,BUS,51,498,460,Point,"[-75.97650900062372, 36.84703100009229]"
498,VAE,"Vale, Oregon",151 Smith Street North,Fletcher Chevron Station,Vale,OR,97918-1163,BUS,41,499,462,Point,"[-117.24687999999955, 43.98191800036826]"
499,VAI,"Vail, Colorado",241 South Frontage Road East, ,Vail,CO,81657,BUS,08,500,463,Point,"[-106.34429900047044, 39.64267699955476]"
500,VAL,"Vallejo, California",4355 Sonoma Blvd.,Denny's Restaurant,Vallejo,CA,94589,BUS,06,501,464,Point,"[-122.25622281612473, 38.132982266252775]"
501,VAN,"Vancouver, Washington, United States",1301 West 11th Street, ,Vancouver,WA,98660,RAIL,53,502,465,Point,"[-122.68472300023521, 45.6298030000303]"
502,VEC,"Ventura, California",Harbor Blvd and Figueroa Street, ,Ventura,CA,93003,RAIL,06,503,467,Point,"[-119.29657699891708, 34.276751999807644]"
503,VIS,"Visalia, California",425 E. Oak Street,Visalia Transit Center,Visalia,CA,93291-5053,BUS,06,504,468,Point,"[-119.2777100010083, 36.32727399969596]"
504,VMW,"Marine World (Seasonal), Vallejo, California",Highway 37 and Fairgrounds Drive,See VAL for daily Vallejo bus stop,Vallejo,CA,94589,BUS,06,505,469,Point,"[-122.22794299937777, 38.134326999687104]"
505,VNC,"Van Nuys (Amtrak), California",7724 Van Nuys Blvd., ,Van Nuys,CA,91405,RAIL,06,506,470,Point,"[-118.44792200034686, 34.21097899994542]"
506,VRV,"Victorville, California",16858 D St.,"train on east side, bus on west side",Victorville,CA,92392,RAIL,06,507,472,Point,"[-117.29212999947498, 34.53662899975349]"
507,WAB,"Waterbury, Vermont",US Hwy 2 and Park Row, ,Waterbury,VT,05676,RAIL,50,508,473,Point,"[-72.75247200007283, 44.33507200019793]"
508,WAC,"Wasco, California",700 G Street, ,Wasco,CA,93280,RAIL,06,509,474,Point,"[-119.33135200078253, 35.59427300031647]"
509,WAH,"Washington, Missouri",301 West Front St., ,Washington,MO,63090-2118,RAIL,29,510,475,Point,"[-91.01222199996074, 38.5613749999987]"
510,WAR,"Warrensburg, Missouri",100 South Holden St., ,Warrensburg,MO,64093-2331,RAIL,29,511,476,Point,"[-93.74045599955744, 38.76317199919928]"
511,WAS,"Washington, District of Columbia",50 Massachusetts Ave NE,Union Station,Washington,DC,20002-4214,RAIL,11,512,477,Point,"[-77.0063709994798, 38.8973049993012]"
512,WAU,"Waupaca, Wisconsin",1222 West Fulton St.,Waupaca Mobil Travel Center,Waupaca,WI,54981-8236,BUS,55,513,478,Point,"[-89.11887241043193, 44.35611302598336]"
513,WBG,"Williamsburg, Virginia",468 North Boundary Street, ,Williamsburg,VA,23185-3650,RAIL,51,514,479,Point,"[-76.70805400069231, 37.27572599943917]"
514,WCT,"White City, Oregon",7455 Highway 62,at Highway 140,White City,OR,97503,BUS,41,515,480,Point,"[-122.81941995755281, 42.45694348026731]"
515,WDB,"Woodbridge, Virginia",1040 Express Way, ,Woodbridge,VA,22194,RAIL,51,516,481,Point,"[-77.24827600019533, 38.65744399971296]"
516,WDL,"Wisconsin Dells, Wisconsin",Superior and La Crosse Sts., ,Wisconsin Dells,WI,53965,RAIL,55,517,482,Point,"[-89.77507800012202, 43.62478599953836]"
517,WDO,"Waldo, Florida",14648 NE 147th Avenue,Intersection Hwy 301 & SR24,Waldo,FL,32694-0802,BUS,12,518,483,Point,"[-82.16741899930334, 29.790170999504614]"
518,WDR,"Waldoboro, Maine",US hwy 1 and hwy 32,Clipper Mart/Texaco Station,Waldoboro,ME,04572,BUS,23,519,484,Point,"[-69.38561001813994, 44.10143999549421]"
519,WEM,"Wells, Maine",696 Sanford Road, ,Wells,ME,04090,RAIL,23,520,485,Point,"[-70.60963099981186, 43.32182600013415]"
520,WEN,"Wenatchee, Washington",Kittitas & South Columbia Sts.,Bus stop is across the street from train platform,Wenatchee,WA,98801-6008,RAIL,53,521,486,Point,"[-120.30584000038587, 47.42162300019949]"
521,WFD,"Wallingford, Connecticut",37 Hall Avenue, ,Wallingford,CT,06492,RAIL,09,522,487,Point,"[-72.82535599947117, 41.45706899921321]"
522,WFH,"Whitefish, Montana",500 Depot Street, ,Whitefish,MT,59937-2567,RAIL,30,523,488,Point,"[-114.33515899956909, 48.41357000047105]"
523,WGL,"West Glacier, Montana",Hwy 2 and Going-to-the-Sun Rd., ,West Glacier,MT,59936,RAIL,30,524,489,Point,"[-113.9716420007791, 48.49873399949192]"
524,WHL,"Whitehall, New York",Main St. and Saunders St., ,Whitehall,NY,12887,RAIL,36,525,490,Point,"[-73.40310700014216, 43.554965999892175]"
525,WHT,"Wheatland, Wyoming",1857 West Mariposa Parkway,Conoco Gas Station,Wheatland,WY,82201-3132,BUS,56,526,491,Point,"[-104.96789994574839, 42.04662027128826]"
526,WIH,"Wishram, Washington",1 Railroad Avenue, ,Wishram,WA,98673,RAIL,53,527,492,Point,"[-120.9663160003753, 45.657309999284905]"
527,WIL,"Wilmington, Delaware",100 South French Street,"(at Martin Luther King, Jr. Blvd. & French st.)",Wilmington,DE,19801-5036,RAIL,10,528,493,Point,"[-75.5521770003299, 39.7369159999855]"
528,WIN,"Winona, Minnesota",65 East Mark Street, ,Winona,MN,55987-3611,RAIL,27,529,494,Point,"[-91.64174699958673, 44.0449370007183]"
529,WIP,"Winter Park/Fraser, Colorado",205 Fraser Avenue, ,Fraser,CO,80442,RAIL,08,530,495,Point,"[-105.8173680004991, 39.94869600045791]"
530,WLN,"Wilson, North Carolina",401 East Nash Street, ,Wilson,NC,27893,RAIL,37,531,496,Point,"[-77.90829500025026, 35.723067999507116]"
531,WLO,"Winslow, Arizona",501 East Second Street, ,Winslow,AZ,86047,RAIL,04,532,497,Point,"[-110.69308500057, 35.020908000194815]"
532,WLY,"Westerly, Rhode Island",14 Railroad Avenue, ,Westerly,RI,02891,RAIL,44,533,498,Point,"[-71.83068800008529, 41.38101599969215]"
